ID,PID,Text
871,871_0,"""My supervisor manages four of us interns, and she does a great job at assigning us projects based on our interests and skill-sets."
729,729_0,In our weekly Monday meeting my teammates would come up with creative ideas and i always respected them and gave credit when they were due.
1160,1160_4,At the end of the meeting we would have reached a decision on how we should promote studying abroad.
315,315_0,"Effectively delivered the cycle time optimization studies and standard work documents for the door lines of new generation car models by leading a team of interns and coordinating the work among them.
"
156,156_0,"""By writing the operations manual and being the maintenance lead, I display the role of leadership and will guide the team in the fall 2018.""
"
994,994_5,"While our leaders were unable to give us a clear answer, we were then able to approach various drivers with the problem to find a solution that worked best for us and them, and then immediately make that change in our load zones."
209,209_1,"For this project, I was responsible for making travel arrangements and providing documentation about the process of beginning the collaborative process."
103,103_1,"I also discussed accomplishments and team progress to the CEDC board of directors in weekly meetings.""
"
1143,1143_3,"After coming up with ideas, we found a solution that will make the situation go much smoother and is more fair to the students in a way that it wasn't before.""
"
331,331_1,Every day i see these employees assign different interns to different tasks so that all the tasks are completed on time.
91,91_0,"""As mentioned previously, I served as the leader of a open discussion about our visibility."
1169,1169_2,"The key to this was that everything had to be labeled and organized so that we could move in immediately after to resume operations, as we had guests coming to stay with us that weekend."
918,918_0,"""One challenge we encountered this semester included tasks being left incomplete for extended periods of time."
